"END_TOTAL","UNION_NAME","F_NUM","DESIG_DESC","DESIG_NAME","DESIG_NUM","STREET_ADR","BUILD_NUM","CITY","STATE","ZIP","YR_COVERED","RPT_ID","CASH_START","CASH_END","ACCOUNTS_RECEIVABLE_START","ACCOUNTS_RECEIVABLE_END","INVESTMENTS_START","INVESTMENTS_END","FIXED_ASSETS_START","FIXED_ASSETS_END","TREASURY_SECURITIES_START","TREASURY_SECURITIES_END","OTHER_ASSETS_START","OTHER_ASSETS_END","LOANS_RECEIVABLE_START","LOANS_RECEIVABLE_END","SOURCE","FORM_TYPE"
"6461415","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2009","413845","1750185","1030327","0","0","1746722","1568216","5000","5000","3628743","3657707","49914","99428","109146","100737","F","LM-2"
"7289710","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2008","367896","1302075","1750185","0","0","2419020","1746722","5000","5000","5153623","3628743","41284","49914","134188","109146","F","LM-2"
"9055190","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2007","334873","1573674","1302075","0","0","2565221","2419020","5000","5000","5123696","5153623","33681","41284","131483","134188","F","LM-2"
"9432755","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2006","299464","1759595","1573674","0","0","2985923","2565221","5000","5000","5393048","5123696","38350","33681","163728","131483","F","LM-2"
"10345644","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","0","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2005","249327","2166662","1759595","0","0","3449539","2985923","5000","5000","5309249","5393048","24799","38350","129635","163728","F","LM-2"
"4766645","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2012","529401","377832","426374","","","1309559","1252346","5000","5000","3223165","2810315","93665","171452","96994","101158","F","LM-2"
"2450995","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2018","711008","488273","557124","0","0","557411","0","5000","5000","2083185","1550334","99540","158351","181142","180186","F","LM-2"
"5106215","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2011","470439","615474","377832","0","","1384089","1309559","5000","5000","3444494","3223165","102726","93665","125199","96994","F","LM-2"
"5676982","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2010","469702","1030327","615474","0","0","1568216","1384089","5000","5000","3657707","3444494","99428","102726","100737","125199","F","LM-2"
"3414551","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2017","680197","516398","488273","","0","749744","557411","5000","5000","2502903","2083185","142203","99540","99913","181142","F","LM-2"
"4016161","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2016","632334","528545","516398","","","722914","749744","5000","5000","2704094","2502903","158906","142203","68581","99913","F","LM-2"
"4188040","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2015","599280","509639","528545","","","1068228","722914","5000","5000","2728374","2704094","119278","158906","72664","68581","F","LM-2"
"11084884","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2004","214612","2248468","2166662","0","0","4459458","3449539","5000","5000","5494804","5309249","26183","24799","131983","129635","T","LM-2"
"12365896","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2003","186988","776775","2248468","0","0","4693863","4459458","5000","5000","7712679","5494804","23853","26183","149151","131983","T","LM-2"
"13361321","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2002","136923","2142288","776775","0","0","4153334","4693863","5000","5000","8255310","7712679","23067","23853","138072","149151","T","LM-2"
"14717071","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","","ONE GATEWAY CENTER #1400","PITTSBURGH","PA","152221416","2001","105845","515504","2142288","","","6403521","4153334","5000","5000","8556744","8255310","36967","23067","137215","138072","T","LM-2"
"15654951","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ","","","ONE GATEWAY CENTER RM 1400","PITTSBURGH","PA","152221416","2000","75779","1346202","515504","","","6881470","6403521","5000","5000","8751449","8556744","18688","36967","150762","137215","T","LM-2"
"4503183","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2014","562793","632611","509639","0","","1252346","1068228","5000","5000","2704094","2728374","123610","119278","95616","72664","F","LM-2"
"4813277","ELECTRICAL WORKERS UE IND","58","NATIONAL HEADQUARTERS","NHQ  ","","ONE GATEWAY CENTER #1400","","PITTSBURGH","PA","152221416","2013","535757","426374","632611","","0","1252346","1252346","5000","5000","2810315","2704094","171452","123610","101158","95616","F","LM-2"
